Lexical item,Level,Avanzado,Inicial,Intermedio,Adulta,Infantil,Juvenil,Native
Arrendatario,B2,0,0,0,0,0,0,1
Arroba,A1-A2,0,0,2,0,0,0,0
Arrogante,B1,0,0,0,1,2,0,3
Arroz,B1,0,9,1,0,0,0,4
Arrugarse,B1,0,0,0,0,0,0,0
Arte,B1,9,10,4,10,11,11,21
Arte escénica,B2,0,0,0,0,0,0,0
Artes plásticas,B2,0,0,0,0,0,0,0
Articulaciones,B2,0,0,0,0,0,0,3
Articulación,B1,0,0,0,0,0,0,3
Artista,B2,1,0,3,2,0,3,4
Artículo,B2,2,17,2,1,0,0,5
Artículos de opinión,B2,0,0,0,0,0,0,0
Asado,B1,0,3,1,0,0,0,0
Ascensor,A1-A2,2,23,6,10,1,2,0
Asiento,B1,0,8,4,3,2,5,5
Asignatura,B1,0,0,1,3,0,1,1
Asignatura optativa,B2,0,0,0,0,0,0,0
Asignatura pendiente,B2,0,0,0,0,0,0,1
Asistencia sanitaria,B2,0,0,0,0,0,0,1
Asistente,B1,0,0,0,0,2,0,6
Asistir,B1,1,1,4,4,5,2,15
Aspirador,B1,0,0,0,0,0,0,0
Aspirina,B1,0,0,0,0,0,0,0
Astrónomo,B2,0,0,0,0,4,0,0
Asustar,B2,1,4,4,4,7,4,2
Ataque de ansiedad,B2,0,0,0,0,0,0,0
Atasco,B1,1,0,1,0,0,0,0
Atención de urgencias,B2,0,0,0,0,0,0,0
Atención especializada,B2,0,0,0,0,0,0,0
Atención primaria,B2,0,0,0,0,0,0,0
Atento,B2,4,1,1,1,1,1,5
Aterrizaje,A1-A2,0,0,0,0,1,0,1
Aterrizar,A1-A2,0,0,1,0,0,2,3
Atleta,A1-A2,0,0,0,0,0,0,11
Atletismo,A1-A2,0,0,0,0,0,0,8
Atmósfera,B2,0,0,0,2,0,0,0
Atracar,B1,0,0,0,0,1,0,0
Atraco,B1,1,1,2,0,0,0,0
Atropello,B1,0,0,0,1,0,0,0
Atún,B1,0,1,0,0,0,1,0
Audioconferencia,B2,0,0,0,0,0,0,0
Aula multimedia,B1,0,0,0,0,0,0,0
Autobiografía,B1,0,0,0,0,0,0,1
Autobús,A1-A2,1,9,4,5,0,2,4
Autopista,B2,0,7,0,0,0,0,3
Autor,B2,12,3,4,2,0,1,18
Autoservicio,B2,0,0,0,0,0,0,0
Auxiliar de vuelo,A1-A2,0,0,0,0,0,0,0
Ave,B1,0,2,7,1,8,0,13
Avellana,B2,0,0,0,0,0,0,0
Avergonzado,B2,1,0,0,2,2,3,0
Averiado,B1,0,0,0,0,0,0,0
Avería,B1,0,0,1,0,2,0,1
Avestruz,B1,0,0,0,0,5,1,0
Avión,A1-A2,0,11,9,1,4,0,18
Ayuntamiento,A1-A2,0,6,5,1,2,1,12
Azafata,A1-A2,1,4,1,0,0,0,0
Azar,B2,0,0,0,4,2,0,5
Azucarero,A1-A2,0,0,0,0,0,0,0
Azul,A1-A2,3,27,13,13,20,32,13
Azúcar,A1-A2,0,0,2,0,2,1,2
Azúcar alto,B2,0,0,0,0,0,0,0
Año lectivo,B2,0,0,0,0,0,0,0
Bachiller,B1,24,0,0,0,0,0,0
Bachillerato,B2,0,0,2,5,0,0,1
Bailar,A1-A2,3,4,8,0,4,7,2
Bailarín,B1,1,0,0,0,1,0,0
Baile,B1,0,3,2,0,9,7,3
Bajar,B2,13,12,13,16,27,19,28
Bajar el interés,B1,0,0,0,0,0,0,0
Bajar el precio,B1,0,0,0,0,0,0,0
Bajar la temperatura,A1-A2,0,0,0,0,0,0,0
Bajar los brazos,B1,0,0,0,0,0,0,0
Bajar los precios,B2,0,0,0,0,0,0,0
Bajito,A1-A2,2,12,2,0,1,3,1
Bajo,A1-A2,8,14,39,10,27,29,59
Bajo en calorías,B2,0,0,0,0,0,0,0
Ballena,B1,0,0,0,0,0,0,0
Balneario,B2,0,0,0,0,0,1,0
Baloncestista,A1-A2,0,0,0,0,0,0,0
Baloncesto,B2,0,0,0,0,0,4,18
Balonmano,B2,0,0,0,0,0,0,3
Balón,B1,0,0,1,0,0,0,23
Banco,A1-A2,1,11,14,17,3,1,51
Banda ancha,B1,0,0,0,0,0,0,0
Banda sonora,B2,0,0,0,0,0,0,0
Bandeja,A1-A2,0,3,0,1,0,1,0
Banquete,B1,0,0,1,0,1,2,1
Bar,A1-A2,3,74,18,0,0,1,9
Baraja,B2,0,0,0,0,0,0,0
Barajar,B2,0,0,0,1,0,0,0
Barba,A1-A2,6,7,6,5,1,0,2
Barca,B1,0,4,0,1,1,0,3
Barco,A1-A2,9,5,15,5,34,1,19
Barco de vela,B2,0,0,0,0,0,0,0
Barra de labios,B1,0,0,0,0,0,1,0
Barra de pan,A1-A2,0,0,0,0,0,0,0
Barra de un bar,A1-A2,0,0,0,0,0,0,0
Barrer,B1,1,2,1,3,3,2,1
Barriga,B1,0,1,0,0,10,0,0
Barrio,A1-A2,3,25,13,7,2,11,12
Barro,B2,0,0,0,0,1,1,0
Base,B1,1,2,3,0,0,0,43
Base de datos,B1,0,0,0,0,0,0,2
Bastón,B1,3,7,0,8,2,0,1
Basura,B1,0,6,6,1,4,17,4
Bate,B1,0,0,0,0,0,0,0
Bateador,B1,0,0,0,0,0,0,1
Batería,B1,0,0,0,0,0,6,3
Bañador,A1-A2,0,9,1,0,0,0,0
Bañarse,A1-A2,0,0,0,0,0,0,0
Bañera,A1-A2,2,0,0,1,0,0,0
Baño,A1-A2,2,23,7,3,2,14,4
