,Lexical item,Level,Topic 1,Subtopic 1,Lemma,Count,Total,Frequency,TFIDF,Tree,Context words,Context count per word,Context count,Context total,Context frequency,Context TFIDF,Context Tree
48,Aceituna,A1-A2,Alimentación,Alimentos,[['aceituna']],2,35991,5.556944791753494e-05,5.0913844257894374e-05,"(4, 7, 5.5, 4, 5, 4.5)","{'bolsa', 'patata', 'cuanto', 'también', 'poner', 'uno', 'y'}","[6, 5, 3, 60, 42, 684, 767]",223.85714285714286,35991,0.006219808920484089,0.00414912760125324,"(3.2857142857142856, 13.428571428571429, 5.974368372660714, 1.7142857142857142, 7.285714285714286, 3.558011445388787)"
49,Aceituna,B1,Alimentación,"Alimentación sana / menús, platos, recetas",[['aceituna']],2,35991,5.556944791753494e-05,5.0913844257894374e-05,"(4, 7, 5.5, 4, 5, 4.5)","{'bolsa', 'patata', 'cuanto', 'también', 'poner', 'uno', 'y'}","[6, 5, 3, 60, 42, 684, 767]",223.85714285714286,35991,0.006219808920484089,0.00414912760125324,"(3.2857142857142856, 13.428571428571429, 5.974368372660714, 1.7142857142857142, 7.285714285714286, 3.558011445388787)"
50,Aceitunas,A1-A2,Alimentación,En el restaurante,[['aceituna']],2,35991,5.556944791753494e-05,5.0913844257894374e-05,"(4, 7, 5.5, 4, 5, 4.5)","{'bolsa', 'patata', 'cuanto', 'también', 'poner', 'uno', 'y'}","[6, 5, 3, 60, 42, 684, 767]",223.85714285714286,35991,0.006219808920484089,0.00414912760125324,"(3.2857142857142856, 13.428571428571429, 5.974368372660714, 1.7142857142857142, 7.285714285714286, 3.558011445388787)"
51,Acelerar ,B1,"Viajes, alojamiento y transporte",La conducción,[['acelerar']],0,35991,0.0,0.0,"(None, None, None, None, None, None)",set(),[],0.0,35991,0.0,0.0,"(None, None, None, None, None, None)"
52,Acera,A1-A2,Ciudad,Ciudad,[['acera']],1,35991,2.778472395876747e-05,1.9781797215696496e-05,"(12, 12, 12.0, 3, 3, 3.0)","{'en', 'enfrente', 'de', 'a', 'quiosco', 'el'}","[539, 3, 914, 669, 1, 1407]",588.8333333333334,35991,0.016360571624387577,0.008077320937256703,"(4.166666666666667, 18.333333333333332, 7.120982351075547, 1.6666666666666667, 7.833333333333333, 3.3779111557772645)"
53,Acertar,B2,Ocio,Juegos y pasatiempos,[['acertar']],0,35991,0.0,0.0,"(None, None, None, None, None, None)",set(),[],0.0,35991,0.0,0.0,"(None, None, None, None, None, None)"
54,Ácido,B1,Alimentación,"Alimentación sana / menús, platos, recetas",[['ácido']],0,35991,0.0,0.0,"(None, None, None, None, None, None)",set(),[],0.0,35991,0.0,0.0,"(None, None, None, None, None, None)"
55,Acierto,B2,Ocio,Juegos y pasatiempos,[['acierto']],0,35991,0.0,0.0,"(None, None, None, None, None, None)",set(),[],0.0,35991,0.0,0.0,"(None, None, None, None, None, None)"
56,Acorde con sus capacidades,B2,Trabajo,Actividad laboral,"[['acorde', 'con', 'su', 'capacidad']]",0,35991,0.0,0.0,"(None, None, None, None, None, None)",set(),[],0.0,35991,0.0,0.0,"(None, None, None, None, None, None)"
57,Acostarse,A1-A2,Individuo y relaciones personales,Acciones cotidianas,[['acostarse']],0,35991,0.0,0.0,"(None, None, None, None, None, None)",set(),[],0.0,35991,0.0,0.0,"(None, None, None, None, None, None)"
58,Actitud,B2,Individuo y relaciones personales,Valores y comportamientos personales,[['actitud']],0,35991,0.0,0.0,"(None, None, None, None, None, None)",set(),[],0.0,35991,0.0,0.0,"(None, None, None, None, None, None)"
59,Actividad ,A1-A2,Educación,Objetos y acciones del aula,[['actividad']],1,35991,2.778472395876747e-05,0.00012354505717523115,"(6, 6, 6.0, 4, 4, 4.0)","{'ser', 'de', 'uno', 'típico', 'rastro', 'el'}","[552, 914, 684, 7, 3, 1407]",594.5,35991,0.01651801839348726,0.008752834377933229,"(2.8333333333333335, 18.666666666666668, 6.229624010812024, 1.6666666666666667, 9, 3.747941970721787)"
60,Acto,B1,Artes,Literatura,[['acto']],0,35991,0.0,0.0,"(None, None, None, None, None, None)",set(),[],0.0,35991,0.0,0.0,"(None, None, None, None, None, None)"
61,Acto,B2,Artes,Literatura y teatro,[['acto']],0,35991,0.0,0.0,"(None, None, None, None, None, None)",set(),[],0.0,35991,0.0,0.0,"(None, None, None, None, None, None)"
62,Actor,A1-A2,Ocio,Aficiones y espectáculos,[['actor']],1,35991,2.778472395876747e-05,8.922170826740494e-05,"(7, 7, 7.0, 4, 4, 4.0)","{'ser', 'poco', 'actriz', 'o', 'como'}","[552, 61, 7, 66, 35]",144.2,35991,0.004006557194854269,0.004191172148851943,"(2.4, 16.8, 5.743218906301586, 1.2, 8.2, 3.224351621293888)"
63,Actor,B1,Artes,Cine,[['actor']],1,35991,2.778472395876747e-05,8.922170826740494e-05,"(7, 7, 7.0, 4, 4, 4.0)","{'ser', 'poco', 'actriz', 'o', 'como'}","[552, 61, 7, 66, 35]",144.2,35991,0.004006557194854269,0.004191172148851943,"(2.4, 16.8, 5.743218906301586, 1.2, 8.2, 3.224351621293888)"
64,Actor,B2,Artes,Literatura y teatro,[['actor']],1,35991,2.778472395876747e-05,8.922170826740494e-05,"(7, 7, 7.0, 4, 4, 4.0)","{'ser', 'poco', 'actriz', 'o', 'como'}","[552, 61, 7, 66, 35]",144.2,35991,0.004006557194854269,0.004191172148851943,"(2.4, 16.8, 5.743218906301586, 1.2, 8.2, 3.224351621293888)"
65,Actor ,A1-A2,Trabajo,Profesiones,[['actor']],1,35991,2.778472395876747e-05,8.922170826740494e-05,"(7, 7, 7.0, 4, 4, 4.0)","{'ser', 'poco', 'actriz', 'o', 'como'}","[552, 61, 7, 66, 35]",144.2,35991,0.004006557194854269,0.004191172148851943,"(2.4, 16.8, 5.743218906301586, 1.2, 8.2, 3.224351621293888)"
66,Actriz,A1-A2,Trabajo,Profesiones,[['actriz']],7,35991,0.0001944930677113723,0.0010495231629647028,"(2, 7, 4.0, 1, 5, 2.7142857142857144)","{'detective', 'y', 'actor', 'ser', 'otro', 'no', 'verónica', 'famoso', '...', 'uno', 'molinos', 'o', 'él', 'querer', 'el', 'colega'}","[13, 767, 1, 552, 97, 506, 13, 6, 228, 684, 2, 66, 784, 94, 1407, 1]",326.3125,35991,0.00906650273679531,0.006172021468209103,"(2.8125, 15.6875, 5.7830206503220625, 1.6875, 8, 3.4942218578263002)"
67,Actriz,B2,Artes,Literatura y teatro,[['actriz']],7,35991,0.0001944930677113723,0.0010495231629647028,"(2, 7, 4.0, 1, 5, 2.7142857142857144)","{'detective', 'y', 'actor', 'ser', 'otro', 'no', 'verónica', 'famoso', '...', 'uno', 'molinos', 'o', 'él', 'querer', 'el', 'colega'}","[13, 767, 1, 552, 97, 506, 13, 6, 228, 684, 2, 66, 784, 94, 1407, 1]",326.3125,35991,0.00906650273679531,0.006172021468209103,"(2.8125, 15.6875, 5.7830206503220625, 1.6875, 8, 3.4942218578263002)"
68,Actriz ,B1,Artes,Cine,[['actriz']],7,35991,0.0001944930677113723,0.0010495231629647028,"(2, 7, 4.0, 1, 5, 2.7142857142857144)","{'detective', 'y', 'actor', 'ser', 'otro', 'no', 'verónica', 'famoso', '...', 'uno', 'molinos', 'o', 'él', 'querer', 'el', 'colega'}","[13, 767, 1, 552, 97, 506, 13, 6, 228, 684, 2, 66, 784, 94, 1407, 1]",326.3125,35991,0.00906650273679531,0.006172021468209103,"(2.8125, 15.6875, 5.7830206503220625, 1.6875, 8, 3.4942218578263002)"
69,Acuarela ,B2,Artes,Artes plásticas,[['acuarela']],0,35991,0.0,0.0,"(None, None, None, None, None, None)",set(),[],0.0,35991,0.0,0.0,"(None, None, None, None, None, None)"
70,Acuario,B1,Geografía y naturaleza,Safari fotográfico,[['acuario']],0,35991,0.0,0.0,"(None, None, None, None, None, None)",set(),[],0.0,35991,0.0,0.0,"(None, None, None, None, None, None)"
71,Acuíferos ,B2,Medioambiente,Problemas medioambientales,[['acuífero']],0,35991,0.0,0.0,"(None, None, None, None, None, None)",set(),[],0.0,35991,0.0,0.0,"(None, None, None, None, None, None)"
72,Acusado,B1,Justicia,En el juzgado,[['acusado']],0,35991,0.0,0.0,"(None, None, None, None, None, None)",set(),[],0.0,35991,0.0,0.0,"(None, None, None, None, None, None)"
73,Acusar,B2,Justicia,Ley y orden,[['acusar']],2,35991,5.556944791753494e-05,9.525468428355268e-05,"(3, 6, 4.5, 2, 2, 2.0)","{'no', 'andrés', 'yo', 'hacer', 'él', 'gritar'}","[506, 20, 343, 110, 784, 12]",295.8333333333333,35991,0.00821964750446871,0.006846065075462507,"(2.3333333333333335, 16.333333333333332, 5.814397676537206, 1.1666666666666667, 8.5, 3.03821896394545)"
74,Acusar ,B1,Justicia,En el juzgado,[['acusar']],2,35991,5.556944791753494e-05,9.525468428355268e-05,"(3, 6, 4.5, 2, 2, 2.0)","{'no', 'andrés', 'yo', 'hacer', 'él', 'gritar'}","[506, 20, 343, 110, 784, 12]",295.8333333333333,35991,0.00821964750446871,0.006846065075462507,"(2.3333333333333335, 16.333333333333332, 5.814397676537206, 1.1666666666666667, 8.5, 3.03821896394545)"
75,Acuse de recibo,B2,Comunicación,Comunicación personal,"[['acuse', 'de', 'recibo']]",0,35991,0.0,0.0,"(None, None, None, None, None, None)",set(),[],0.0,35991,0.0,0.0,"(None, None, None, None, None, None)"
76,Acuse de recibo ,B1,Servicios,Servicio postal,"[['acuse', 'de', 'recibo']]",0,35991,0.0,0.0,"(None, None, None, None, None, None)",set(),[],0.0,35991,0.0,0.0,"(None, None, None, None, None, None)"
77,Adelgazar,B1,Salud y cuidados personales,El cuerpo humano y la salud,[['adelgazar']],0,35991,0.0,0.0,"(None, None, None, None, None, None)",set(),[],0.0,35991,0.0,0.0,"(None, None, None, None, None, None)"
78,Adiós ,A1-A2,Relaciones sociales,Saludos,[['adiós']],6,35991,0.0001667083437526048,0.0005467612669187773,"(2, 6, 4.333333333333333, 1, 5, 3.0)","{'raúl', 'lola', 'su', 'contestar', 'mi', 'que', 'bueno', 'a', 'chica', 'decir', 'tener', 'vacaciones', 'él', 'serie'}","[26, 31, 173, 53, 69, 389, 37, 669, 31, 266, 270, 14, 784, 5]",201.21428571428572,35991,0.005590683385131997,0.004734394722468184,"(2.357142857142857, 15.571428571428571, 5.842164432629904, 1.1428571428571428, 8.071428571428571, 3.3289116512870094)"
79,Aditivos ,B2,Medioambiente,Problemas medioambientales,[['aditivo']],0,35991,0.0,0.0,"(None, None, None, None, None, None)",set(),[],0.0,35991,0.0,0.0,"(None, None, None, None, None, None)"
80,Adjuntar,B1,Medios de comunicación,Internet,[['adjuntar']],0,35991,0.0,0.0,"(None, None, None, None, None, None)",set(),[],0.0,35991,0.0,0.0,"(None, None, None, None, None, None)"
81,Administrativo,A1-A2,Trabajo,Profesiones,[['administrativo']],0,35991,0.0,0.0,"(None, None, None, None, None, None)",set(),[],0.0,35991,0.0,0.0,"(None, None, None, None, None, None)"
82,Admiración,B2,Individuo y relaciones personales,Valores y comportamientos personales,[['admiración']],0,35991,0.0,0.0,"(None, None, None, None, None, None)",set(),[],0.0,35991,0.0,0.0,"(None, None, None, None, None, None)"
83,Adolescencia ,B1,Individuo y relaciones personales,Relaciones personales,[['adolescencia']],0,35991,0.0,0.0,"(None, None, None, None, None, None)",set(),[],0.0,35991,0.0,0.0,"(None, None, None, None, None, None)"
84,Adolescente,B1,Individuo y relaciones personales,Relaciones personales,[['adolescente']],1,35991,2.778472395876747e-05,9.51698221518986e-05,"(4, 4, 4.0, 6, 6, 6.0)","{'noticia', 'en', 'alemán', 'de', 'desaparecido', 'el'}","[13, 539, 4, 914, 2, 1407]",479.8333333333333,35991,0.013332036712881924,0.006403750418861619,"(2.5, 14.333333333333334, 5.3258039370630526, 1.3333333333333333, 8, 3.6113249766350313)"
85,Adoptado ,B2,Individuo y relaciones personales,Relaciones familiares,[['adoptado']],0,35991,0.0,0.0,"(None, None, None, None, None, None)",set(),[],0.0,35991,0.0,0.0,"(None, None, None, None, None, None)"
86,Adoptar ,B1,Individuo y relaciones personales,Relaciones personales,[['adoptar']],0,35991,0.0,0.0,"(None, None, None, None, None, None)",set(),[],0.0,35991,0.0,0.0,"(None, None, None, None, None, None)"
87,Adorar,B2,Individuo y relaciones personales,Valores y comportamientos personales,[['adorar']],0,35991,0.0,0.0,"(None, None, None, None, None, None)",set(),[],0.0,35991,0.0,0.0,"(None, None, None, None, None, None)"
88,Adquirir experiencia,B1,Trabajo,Trabajo,"[['adquirir', 'experiencia']]",0,35991,0.0,0.0,"(None, None, None, None, None, None)",set(),[],0.0,35991,0.0,0.0,"(None, None, None, None, None, None)"
89,ADSL,B2,Comunicación,Comunicación personal,[['adsl']],0,35991,0.0,0.0,"(None, None, None, None, None, None)",set(),[],0.0,35991,0.0,0.0,"(None, None, None, None, None, None)"
90,Adulto ,B1,Individuo y relaciones personales,Relaciones personales,[['adulto']],0,35991,0.0,0.0,"(None, None, None, None, None, None)",set(),[],0.0,35991,0.0,0.0,"(None, None, None, None, None, None)"
