litera_3,litera_1,litera_2
"('príncipe', -0.18145053884723017)","('ser', -0.8020721544263958)","('bosque', -0.11667071430492183)"
"('niña', -0.14342986424203802)","('haber', -0.6821395521212872)","('día', -0.11483441188324979)"
"('molinero', -0.13303900112975617)","('decir', -0.5452603002491493)","('lobo', -0.11340518287398392)"
"('bosque', -0.1308667309328122)","('tener', -0.24977668904913772)","('príncipe', -0.10662558178555144)"
"('lobo', -0.12674450484401958)","('estudiante', -0.23924605296683377)","('soldadito', -0.10012378595752111)"
"('rosa', -0.12498692130198863)","('cohete', -0.23459863095064587)","('bruja', -0.09859274057773984)"
"('cohete', -0.11649611645416111)","('ruiseñor', -0.23240686693022214)","('encontrar', -0.09144063039281833)"
"('niño', -0.11332267548907246)","('alguno', -0.22045694471540928)","('clancanieves', -0.08970124070573303)"
"('bruja', -0.1000567300286171)","('molinero', -0.2099767775779071)","('mujer', -0.08462873513990164)"
"('princesa', -0.09838491984085769)","('rosa', -0.2047477776438985)","('fábrica', -0.08455605325998618)"
"('soldadito', -0.09420571616478045)","('mano', -0.19021460848152796)","('nasar', -0.08272745565416292)"
"('rey', -0.09309555661307821)","('padre', -0.1787005532977014)","('ogro', -0.07768906904278372)"
"('nieve', -0.09111565307461207)","('vez', -0.16621557124755143)","('corneja', -0.07688269802627885)"
"('volar', -0.08747667851596938)","('nasar', -0.15248209655648198)","('vigilante', -0.0741139324306873)"
"('muñeco', -0.08363465826032165)","('tiempo', -0.15227763385482468)","('pueblo', -0.0721990330065122)"
"('palacio', -0.0804602719320596)","('saber', -0.1489892308658622)","('comenzar', -0.07089711310079702)"
"('gritar', -0.07940748554749752)","('pensar', -0.14874166442947478)","('cierto', -0.07049247007198897)"
"('rojo', -0.07890085670260408)","('pelo', -0.14850847926147157)","('barco', -0.068598256498459)"
"('clancanieves', -0.07880086369344626)","('madre', -0.14364474598648194)","('madrastra', -0.06824593711182264)"
"('fábrica', -0.0779303866641758)","('rojo', -0.14186379738865607)","('supervisor', -0.06737630220971574)"
"('ruiseñor', -0.07581016074478883)","('mismo', -0.14151345422408654)","('ricito', -0.0642089990085819)"
"('jardín', -0.07426402194719586)","('preguntar', -0.13785450502276295)","('don', -0.06361580620164481)"
"('nuevo', -0.07245827950826006)","('loco', -0.13407575213561626)","('mar', -0.061978993425811334)"
"('loco', -0.07157141922652602)","('estatua', -0.13311770099201942)","('balleno', -0.06175578863740479)"
"('oro', -0.0712919425926121)","('parecer', -0.13217428064403616)","('niña', -0.06011427901839674)"
"('cabeza', -0.07033459385528174)","('habitación', -0.13209378185248843)","('volar', -0.05947778314288316)"
"('ogro', -0.070117162163857)","('sólo', -0.12290255601319545)","('páramo', -0.0592854177447064)"
"('bello', -0.06984366872671238)","('ir', -0.12171315655563143)","('poder', -0.0584745291140314)"
"('feliz', -0.06722582438340562)","('señora', -0.12083066019570914)","('buscar', -0.05836800583922323)"
"('estatua', -0.06600565902706955)","('carretilla', -0.11781560614881208)","('mayor', -0.058070285218564374)"
"('corneja', -0.06563668396681265)","('clase', -0.11725970265485045)","('hada', -0.05780983216792325)"
"('ricito', -0.06093720961507412)","('vigilante', -0.1156883063277022)","('portero', -0.055268372944639745)"
"('balleno', -0.058692146869696454)","('secreto', -0.11563376169633881)","('casa', -0.05399154029217595)"
"('exclamar', -0.057906336213189864)","('san', -0.11365309800438528)","('decidir', -0.05188410121376381)"
"('voló', -0.0576460975919916)","('hombre', -0.11277872707853663)","('princesa', -0.05152022301595038)"
"('castillo', -0.05652933587568485)","('páramo', -0.11207529160812418)","('escena', -0.05136864103190045)"
"('corazón', -0.05638491263235605)","('tal', -0.1119269565173755)","('oveja', -0.05121234980702126)"
"('madera', -0.056239243468066004)","('rostro', -0.11003852280082285)","('entrar', -0.05065026536771984)"
"('madrastra', -0.05621124416386101)","('nunca', -0.10942749707002863)","('castillo', -0.05064958172163122)"
"('cisne', -0.055434863071819676)","('embargo', -0.10931491281458662)","('aprender', -0.04981679574296884)"
"('pequeño', -0.05527257846405088)","('sentir', -0.10861619927427883)","('cabrito', -0.04972565505992174)"
"('cuento', -0.05397433443175051)","('cierto', -0.10839252380571819)","('enanito', -0.049571738284747195)"
"('baile', -0.05231451352175626)","('hablar', -0.1074574068592674)","('hora', -0.04903712216857528)"
"('pelo', -0.0520194039304502)","('luego', -0.10711840901996131)","('cazador', -0.04832940684641628)"
"('plomo', -0.05179102643431434)","('dar', -0.10534947652371271)","('allí', -0.04746892290840722)"
"('carretilla', -0.05090596927558348)","('supervisor', -0.10517118757063836)","('román', -0.04727283180237882)"
"('empezar', -0.05056507430412943)","('creer', -0.10247285130062694)","('san', -0.04720922527399112)"
"('compartir', -0.050491325663822494)","('año', -0.10221526605270444)","('posibilidad', -0.046871422575226626)"
"('oh', -0.05004959173740694)","('aquel', -0.10214629743849356)","('hombre', -0.046745848528010295)"
"('espino', -0.04922974800219611)","('después', -0.1015331760369015)","('tierra', -0.04668487444729538)"
"('descubrir', -0.04903290432821811)","('noche', -0.10060966372543287)","('marqués', -0.04654992724500355)"
"('mar', -0.04897395901899196)","('dos', -0.10056568845993807)","('invento', -0.046480697237436225)"
"('invento', -0.048531373134649294)","('pues', -0.09808102854400502)","('fué', -0.04638284757564994)"
"('saco', -0.048477961743130384)","('morir', -0.09699889232311949)","('abuela', -0.046348176193182294)"
"('oveja', -0.0481896948547411)","('replicar', -0.09662207892061321)","('cada', -0.04618509194934947)"
"('convertir', -0.048088929742180805)","('bien', -0.09647987003658544)","('muchacha', -0.04589034452768528)"
"('cabrito', -0.04789031145232747)","('sangre', -0.09636584527261215)","('pasaron', -0.0458171163130193)"
"('barco', -0.047727058310218735)","('último', -0.09432059913547043)","('carabás', -0.04567661556857631)"
"('rosal', -0.04743028407277565)","('muñeco', -0.09416433103056789)","('salir', -0.045482022854389605)"
