Lexical item,Level,Topic,Subtopic,Lemma,Count,Total,Frequency,TFIDF,Tree,Context words,Context count per word,Context count,Context total,Context frequency,Context TFIDF,Context tree
Aceite,A1-A2,Alimentación,Alimentos,[['aceite']],7,33354,0.00020986988067398212,0.0001555640441431916,"(4, 19, 9.714285714285714, 3, 7, 5.428571428571429)","{'viejo', 'poco', 'no', 'rodilla', 'como', 'tener', 'el', 'mucho', 'sin', 'uno', 'antiguo', 'gotita', 'quédar', 'que', 'y', 'mediar', 'aquí', 'en', 'de', 'botellita', 'lámpara'}","[26, 31, 307, 1, 125, 166, 1201, 147, 66, 599, 2, 1, 2, 705, 790, 1, 39, 431, 817, 1, 18]",260.76190476190476,33354,0.007818009976671607,0.003856087438883902,"(5.333333333333333, 16.80952380952381, 8.986342583490458, 2.5714285714285716, 9.428571428571429, 4.86328763423322)"
Aceite de oliva,B1,Alimentación,"Alimentación sana / menús, platos, recetas","[['aceite', 'de', 'oliva']]",0,33354,0.0,0.0,"(None, None, None, None, None, None)",set(),[],0.0,33354,0.0,0.0,"(None, None, None, None, None, None)"
Aceite vegetal,B1,Alimentación,"Alimentación sana / menús, platos, recetas","[['aceite', 'vegetal']]",0,33354,0.0,0.0,"(None, None, None, None, None, None)",set(),[],0.0,33354,0.0,0.0,"(None, None, None, None, None, None)"
Aceitera,A1-A2,Alimentación,Utensilios de cocina y de mesa,[['aceitera']],0,33354,0.0,0.0,"(None, None, None, None, None, None)",set(),[],0.0,33354,0.0,0.0,"(None, None, None, None, None, None)"
Aceituna,A1-A2,Alimentación,Alimentos,[['aceituna']],0,33354,0.0,0.0,"(None, None, None, None, None, None)",set(),[],0.0,33354,0.0,0.0,"(None, None, None, None, None, None)"
Aceituna,B1,Alimentación,"Alimentación sana / menús, platos, recetas",[['aceituna']],0,33354,0.0,0.0,"(None, None, None, None, None, None)",set(),[],0.0,33354,0.0,0.0,"(None, None, None, None, None, None)"
Aceitunas,A1-A2,Alimentación,En el restaurante,[['aceituna']],0,33354,0.0,0.0,"(None, None, None, None, None, None)",set(),[],0.0,33354,0.0,0.0,"(None, None, None, None, None, None)"
Acelerar ,B1,"Viajes, alojamiento y transporte",La conducción,[['acelerar']],0,33354,0.0,0.0,"(None, None, None, None, None, None)",set(),[],0.0,33354,0.0,0.0,"(None, None, None, None, None, None)"
Acera,A1-A2,Ciudad,Ciudad,[['acera']],0,33354,0.0,0.0,"(None, None, None, None, None, None)",set(),[],0.0,33354,0.0,0.0,"(None, None, None, None, None, None)"
Acertar,B2,Ocio,Juegos y pasatiempos,[['acertar']],0,33354,0.0,0.0,"(None, None, None, None, None, None)",set(),[],0.0,33354,0.0,0.0,"(None, None, None, None, None, None)"
Ácido,B1,Alimentación,"Alimentación sana / menús, platos, recetas",[['ácido']],0,33354,0.0,0.0,"(None, None, None, None, None, None)",set(),[],0.0,33354,0.0,0.0,"(None, None, None, None, None, None)"
Acierto,B2,Ocio,Juegos y pasatiempos,[['acierto']],0,33354,0.0,0.0,"(None, None, None, None, None, None)",set(),[],0.0,33354,0.0,0.0,"(None, None, None, None, None, None)"
Acorde con sus capacidades,B2,Trabajo,Actividad laboral,"[['acorde', 'con', 'su', 'capacidad']]",0,33354,0.0,0.0,"(None, None, None, None, None, None)",set(),[],0.0,33354,0.0,0.0,"(None, None, None, None, None, None)"
Acostarse,A1-A2,Individuo y relaciones personales,Acciones cotidianas,[['acostarse']],0,33354,0.0,0.0,"(None, None, None, None, None, None)",set(),[],0.0,33354,0.0,0.0,"(None, None, None, None, None, None)"
Actitud,B2,Individuo y relaciones personales,Valores y comportamientos personales,[['actitud']],1,33354,2.998141152485459e-05,2.5953471235291033e-05,"(9, 9, 9.0, 3, 3, 3.0)","{'desobediente', 'tú', 'bien', 'tu', 'no'}","[1, 177, 31, 55, 307]",114.2,33354,0.0034238771961383942,0.003498874520256835,"(3.8, 14.4, 7.369248618925861, 1.4, 7.8, 3.581296601183868)"
Actividad ,A1-A2,Educación,Objetos y acciones del aula,[['actividad']],0,33354,0.0,0.0,"(None, None, None, None, None, None)",set(),[],0.0,33354,0.0,0.0,"(None, None, None, None, None, None)"
Acto,B1,Artes,Literatura,[['acto']],3,33354,8.994423457456377e-05,7.243315885643312e-05,"(8, 11, 9.666666666666666, 4, 6, 5.0)","{'en', 'de', 'y', 'seguido', 'maldad', 'uno', 'terrible', 'el', 'prrrrruagh'}","[431, 817, 790, 2, 1, 599, 6, 1201, 1]",427.55555555555554,33354,0.01281871906084894,0.0048559187770083,"(4.666666666666667, 16.444444444444443, 8.590683600420705, 2.6666666666666665, 9, 4.802768776757086)"
Acto,B2,Artes,Literatura y teatro,[['acto']],3,33354,8.994423457456377e-05,7.243315885643312e-05,"(8, 11, 9.666666666666666, 4, 6, 5.0)","{'en', 'de', 'y', 'seguido', 'maldad', 'uno', 'terrible', 'el', 'prrrrruagh'}","[431, 817, 790, 2, 1, 599, 6, 1201, 1]",427.55555555555554,33354,0.01281871906084894,0.0048559187770083,"(4.666666666666667, 16.444444444444443, 8.590683600420705, 2.6666666666666665, 9, 4.802768776757086)"
Actor,A1-A2,Ocio,Aficiones y espectáculos,[['actor']],0,33354,0.0,0.0,"(None, None, None, None, None, None)",set(),[],0.0,33354,0.0,0.0,"(None, None, None, None, None, None)"
Actor,B1,Artes,Cine,[['actor']],0,33354,0.0,0.0,"(None, None, None, None, None, None)",set(),[],0.0,33354,0.0,0.0,"(None, None, None, None, None, None)"
Actor,B2,Artes,Literatura y teatro,[['actor']],0,33354,0.0,0.0,"(None, None, None, None, None, None)",set(),[],0.0,33354,0.0,0.0,"(None, None, None, None, None, None)"
Actor ,A1-A2,Trabajo,Profesiones,[['actor']],0,33354,0.0,0.0,"(None, None, None, None, None, None)",set(),[],0.0,33354,0.0,0.0,"(None, None, None, None, None, None)"
Actriz,A1-A2,Trabajo,Profesiones,[['actriz']],0,33354,0.0,0.0,"(None, None, None, None, None, None)",set(),[],0.0,33354,0.0,0.0,"(None, None, None, None, None, None)"
Actriz,B2,Artes,Literatura y teatro,[['actriz']],0,33354,0.0,0.0,"(None, None, None, None, None, None)",set(),[],0.0,33354,0.0,0.0,"(None, None, None, None, None, None)"
Actriz ,B1,Artes,Cine,[['actriz']],0,33354,0.0,0.0,"(None, None, None, None, None, None)",set(),[],0.0,33354,0.0,0.0,"(None, None, None, None, None, None)"
Acuarela ,B2,Artes,Artes plásticas,[['acuarela']],0,33354,0.0,0.0,"(None, None, None, None, None, None)",set(),[],0.0,33354,0.0,0.0,"(None, None, None, None, None, None)"
