Lexical item,Level,Count,Total,Frequency,TFIDF,Tree,Context count,Context total,Context frequency,Context TFIDF,Context tree
Traducir,B1,1,73606,1.3585848979702741e-05,1.1105475157525093e-05,"(11, 11, 11.0, 11, 11, 11.0)",912.8333333333334,73606,0.01240161581030532,0.0052519883895736676,"(2.6666666666666665, 29.333333333333332, 9.23180697276115, 1.5, 15.833333333333334, 5.676787432818627)"
Traductor,B1,0,73606,0.0,0.0,"(None, None, None, None, None, None)",0.0,73606,0.0,0.0,"(None, None, None, None, None, None)"
Traer la cuenta,A1-A2,0,73606,0.0,0.0,"(None, None, None, None, None, None)",0.0,73606,0.0,0.0,"(None, None, None, None, None, None)"
Tragedia,B2,0,73606,0.0,0.0,"(None, None, None, None, None, None)",0.0,73606,0.0,0.0,"(None, None, None, None, None, None)"
Tragicomedia,B2,0,73606,0.0,0.0,"(None, None, None, None, None, None)",0.0,73606,0.0,0.0,"(None, None, None, None, None, None)"
Traje,B1,6,73606,8.151509387821645e-05,0.0001151236973017636,"(5, 10, 7.333333333333333, 3, 6, 4.666666666666667)",594.1875,73606,0.008072541640627123,0.00391247316611414,"(3.625, 26.5625, 9.86661553410481, 2.0625, 14.125, 5.571417789734742)"
Traje chaqueta,B1,0,73606,0.0,0.0,"(None, None, None, None, None, None)",0.0,73606,0.0,0.0,"(None, None, None, None, None, None)"
Tranquilo,B1,19,73606,0.0002581311306143521,0.0006197101671829812,"(3, 20, 9.894736842105264, 1, 9, 5.315789473684211)",336.94642857142856,73606,0.004577703292821625,0.0027635380863450768,"(3.75, 25.232142857142858, 9.77913157008378, 2.2857142857142856, 13.142857142857142, 5.639542029969633)"
Transacción,B2,0,73606,0.0,0.0,"(None, None, None, None, None, None)",0.0,73606,0.0,0.0,"(None, None, None, None, None, None)"
Transcurrir,B2,0,73606,0.0,0.0,"(None, None, None, None, None, None)",0.0,73606,0.0,0.0,"(None, None, None, None, None, None)"
Transfusión de sangre,B2,0,73606,0.0,0.0,"(None, None, None, None, None, None)",0.0,73606,0.0,0.0,"(None, None, None, None, None, None)"
Transmisión celular,B2,0,73606,0.0,0.0,"(None, None, None, None, None, None)",0.0,73606,0.0,0.0,"(None, None, None, None, None, None)"
