Lexical item;Level
arroz;A2
arroz con leche;B2
arruga;A2
arrugado;B2
arrugar;A2
arrugarse;B1
arruinar;B2
artículo;B2
artículo de fondo;B2
artículo de opinión;B2
artículo gratis;B2
artístico;B1
arte;A2
arte abstracto;B2
arte barroco;B2
arte callejero;B2
arte clásico;B1
arte contemporáneo;B2
arte cubista;B2
arte expresionista;B2
arte futurista;B2
arte gótico;B2
arte impresionista;B2
arte modernista;B2
arte moderno;B1
arte oriental;B2
arte realista;B2
arte románico;B2
arteria;B2
artes escénicas;B2
artes plásticas;B2
articulación;B1
artista;A2
asado;B1
asar;B1
ascender a jefe de sección;B2
ascender a responsable de unidad;B2
ascender a subdirector;B2
ascensor;A1
asentarse;A2
asentir;B2
aseo;A2
aseos públicos;B1
asesinar;B2
asesinar a alguien;B2
asesinato;B2
asesino;B1
asia;B1
asiento;B1
asiento de un cine;B1
asiento de un teatro;B1
asignatura;B1
asignatura común;B2
asignatura obligatoria;B2
asignatura optativa;B2
asignatura pendiente;B2
asignatura práctica;B1
asignatura teórica;B1
asimilar;B2
asistencia domiciliaria;B2
asistencia médica;B2
asistencia sanitaria;B2
asistente;B1
asistente social;B2
asistir;B1
asistir a un cóctel;B2
asistir a un funeral;B2
asistir a una celebración;B2
asistir a una fiesta de disfraces;B2
asociación;B2
asociación de antiguos alumnos;B2
asociación de profesores;B2
aspecto;B1
aspersor;B2
aspirador;B1
aspirina;B1
astrónomo;B2
astrología;B2
astronauta;B1
astronomía;B2
asumir;B2
asustar;B2
asustarse;B2
atún;A2
atómico;B2
atacar;B2
atacar un virus;B2
ataque al corazón;B2
ataque de ansiedad;B2
ataque epiléptico;B2
atasco;B1
ateísmo;B2
atención;B1
atención al cliente;B2
atención de urgencias;B2
atención especializada;B2
atención primaria;B2
atender;A2
atender a personas mayores;B1
atender a un enfermo;B2
atender clientes;B1
atender una llamada;B1
atender una mesa;B2
atender usuarios;B1
atenerse;B2
atentado;B2
atentado terrorista;B1
atentar contra alguien;B2
atento;B2
ateo;B1
aterrizaje;B2
aterrizar;B1
atleta;A1
atletismo;B1
atmósfera;B1
atracar;B1
atraco;B1
atravesar;B1
atravesar el océano;B2
atravesar el país;B2
atropellar;B1
atropello;B1
audición;B2
audio;B1
audioconferencia;B2
aula;A2
aula multimedia;B1
aumentar;A2
aumentar el número de desempleados;B2
aumentar el precio;B1
aumentar la familia;B2
aumentar la velocidad;B2
aumento;A2
aumento de la mortalidad;B2
aumento de la natalidad;B2
aumento de la población;B2
autobús;A1
autobús interurbano;B2
autobús urbano;B2
autobiografía;B1
autoevaluación;B2
autopista;B1
autopista de peaje;B2
autor;B2
autor futurista;B2
autor impresionista;B2
autor modernista;B2
autor teatral;B2
autoservicio;B2
autovía;B2
auxiliar de vuelo;B1
avance;B2
avance científico;B2
avance tecnológico;B2
avanzar;B1
avanzar con una ficha;B2
ave;B1
avellana;B2
avenida;A1
avería;B1
avergonzado;B2
avergonzarse;B2
averiado;B1
averiarse un electrodoméstico;B2
avestruz;B1
avión;A1
avisar;B2
ayuda;B1
ayuda económica;B1
ayuda en carretera;B2
