Lexical item,Level,Count,Total,Frequency,TFIDF,Tree,Context count,Context total,Context frequency,Context TFIDF,Context tree
dar una patada,B2,0,76643,0.0,0.0,"(None, None, None, None, None, None)",0.0,76643,0.0,0.0,"(None, None, None, None, None, None)"
dar una propina,A2,1,76643,1.3047505969233981e-05,4.297611531462721e-05,"(5, 5, 5.0, 2, 2, 2.0)",897.5,76643,0.011710136607387497,0.005579564098034819,"(2.25, 21.25, 7.574810319305897, 1, 13.5, 4.400960438544111)"
dar una reacción alérgica,B2,0,76643,0.0,0.0,"(None, None, None, None, None, None)",0.0,76643,0.0,0.0,"(None, None, None, None, None, None)"
dar una receta,B1,0,76643,0.0,0.0,"(None, None, None, None, None, None)",0.0,76643,0.0,0.0,"(None, None, None, None, None, None)"
dar una receta médica,B1,0,76643,0.0,0.0,"(None, None, None, None, None, None)",0.0,76643,0.0,0.0,"(None, None, None, None, None, None)"
dar una rueda de prensa,B2,0,76643,0.0,0.0,"(None, None, None, None, None, None)",0.0,76643,0.0,0.0,"(None, None, None, None, None, None)"
dar una señal,B2,0,76643,0.0,0.0,"(None, None, None, None, None, None)",0.0,76643,0.0,0.0,"(None, None, None, None, None, None)"
dar una torta,B2,0,76643,0.0,0.0,"(None, None, None, None, None, None)",0.0,76643,0.0,0.0,"(None, None, None, None, None, None)"
darse de sí,B2,0,76643,0.0,0.0,"(None, None, None, None, None, None)",0.0,76643,0.0,0.0,"(None, None, None, None, None, None)"
darse dos besos,B2,0,76643,0.0,0.0,"(None, None, None, None, None, None)",0.0,76643,0.0,0.0,"(None, None, None, None, None, None)"
darse rímel,B1,0,76643,0.0,0.0,"(None, None, None, None, None, None)",0.0,76643,0.0,0.0,"(None, None, None, None, None, None)"
darse un baño,B2,1,76643,1.3047505969233981e-05,5.982009461074915e-05,"(5, 5, 5.0, 4, 4, 4.0)",752.3333333333334,76643,0.009816073657520364,0.006384618645458838,"(2.6666666666666665, 22.333333333333332, 8.169625976626165, 1.3333333333333333, 15.333333333333334, 4.761759788621487)"
darse un baño caliente,B2,0,76643,0.0,0.0,"(None, None, None, None, None, None)",0.0,76643,0.0,0.0,"(None, None, None, None, None, None)"
darse un baño de espuma,B2,0,76643,0.0,0.0,"(None, None, None, None, None, None)",0.0,76643,0.0,0.0,"(None, None, None, None, None, None)"
darse un baño frío,B2,0,76643,0.0,0.0,"(None, None, None, None, None, None)",0.0,76643,0.0,0.0,"(None, None, None, None, None, None)"
darse un baño relajante,B2,0,76643,0.0,0.0,"(None, None, None, None, None, None)",0.0,76643,0.0,0.0,"(None, None, None, None, None, None)"
darse un buen tute,B2,0,76643,0.0,0.0,"(None, None, None, None, None, None)",0.0,76643,0.0,0.0,"(None, None, None, None, None, None)"
darse un golpe,B1,0,76643,0.0,0.0,"(None, None, None, None, None, None)",0.0,76643,0.0,0.0,"(None, None, None, None, None, None)"
darse un masaje,B1,0,76643,0.0,0.0,"(None, None, None, None, None, None)",0.0,76643,0.0,0.0,"(None, None, None, None, None, None)"
darse un masaje relajante,B2,0,76643,0.0,0.0,"(None, None, None, None, None, None)",0.0,76643,0.0,0.0,"(None, None, None, None, None, None)"
darse un masaje terapéutico,B2,0,76643,0.0,0.0,"(None, None, None, None, None, None)",0.0,76643,0.0,0.0,"(None, None, None, None, None, None)"
darse una crema,B1,0,76643,0.0,0.0,"(None, None, None, None, None, None)",0.0,76643,0.0,0.0,"(None, None, None, None, None, None)"
darse una ducha,B2,0,76643,0.0,0.0,"(None, None, None, None, None, None)",0.0,76643,0.0,0.0,"(None, None, None, None, None, None)"
darse una ducha caliente,B2,0,76643,0.0,0.0,"(None, None, None, None, None, None)",0.0,76643,0.0,0.0,"(None, None, None, None, None, None)"
darse una ducha fría,B2,0,76643,0.0,0.0,"(None, None, None, None, None, None)",0.0,76643,0.0,0.0,"(None, None, None, None, None, None)"
darse una ducha rápida,B2,0,76643,0.0,0.0,"(None, None, None, None, None, None)",0.0,76643,0.0,0.0,"(None, None, None, None, None, None)"
dato,B2,10,76643,0.00013047505969233982,0.0001437295538998205,"(2, 17, 7.8, 2, 10, 5.4)",495.58620689655174,76643,0.006466163992752785,0.003662863444164535,"(2.7586206896551726, 20.17241379310345, 8.03933537667273, 1.793103448275862, 12.379310344827585, 4.667733084892073)"
datos personales,B2,0,76643,0.0,0.0,"(None, None, None, None, None, None)",0.0,76643,0.0,0.0,"(None, None, None, None, None, None)"
de boca en boca,B2,0,76643,0.0,0.0,"(None, None, None, None, None, None)",0.0,76643,0.0,0.0,"(None, None, None, None, None, None)"
de cuadros,B1,0,76643,0.0,0.0,"(None, None, None, None, None, None)",0.0,76643,0.0,0.0,"(None, None, None, None, None, None)"
de día,A2,5,76643,6.523752984616991e-05,0.00015190444632751047,"(7, 16, 11.6, 3, 5, 4.0)",394.12,76643,0.0051422830525944966,0.0035515332331557984,"(3.36, 19.64, 8.282643757501667, 1.84, 11.72, 4.5872821951154465)"
de espaldas,B2,1,76643,1.3047505969233981e-05,3.638081609381217e-05,"(5, 5, 5.0, 3, 3, 3.0)",1292.75,76643,0.016867163341727227,0.007452479381738716,"(2.25, 24.5, 8.142675449609841, 1.25, 16, 4.6579693241043945)"
de fama internacional,B2,0,76643,0.0,0.0,"(None, None, None, None, None, None)",0.0,76643,0.0,0.0,"(None, None, None, None, None, None)"
de frente,B2,1,76643,1.3047505969233981e-05,1.6400444797089937e-05,"(8, 8, 8.0, 3, 3, 3.0)",758.8,76643,0.009900447529454745,0.005443382617024698,"(2.4, 22, 7.516787288633751, 1.2, 13.4, 4.18057174188868)"
de lujo,B1,3,76643,3.914251790770194e-05,5.588366503071714e-05,"(5, 11, 8.333333333333334, 5, 9, 6.666666666666667)",794.6363636363636,76643,0.010368022697915839,0.005250676686581185,"(3, 20.90909090909091, 7.950705409800192, 2.1818181818181817, 14.090909090909092, 4.848102168389374)"
de memoria,B1,1,76643,1.3047505969233981e-05,1.1462472341950287e-05,"(6, 6, 6.0, 7, 7, 7.0)",484.8,76643,0.006325430893884634,0.003448901359193923,"(3.4, 20.6, 8.321643191503536, 2.2, 11.4, 4.874829858532119)"
de nada,A1,3,76643,3.914251790770194e-05,7.466602892984533e-05,"(5, 10, 7.0, 2, 3, 2.6666666666666665)",521.0,76643,0.0067977506099709045,0.0046597975298291365,"(2.3333333333333335, 21.77777777777778, 8.075530417686062, 1.3333333333333333, 11.88888888888889, 4.387621573251312)"
