Lexical item;Level;Topic;Subtopic
Acierto;B2;Ocio;Juegos y pasatiempos
Acorde con sus capacidades;B2;Trabajo;Actividad laboral
Acostarse;A1-A2;Individuo y relaciones personales;Acciones cotidianas
Actitud;B2;Individuo y relaciones personales;Valores y comportamientos personales
Actividad;A1-A2;Educación;Objetos y acciones del aula
Acto;B2;Artes;Literatura y teatro
Actor;B2;Artes;Literatura y teatro
Actriz;B2;Artes;Literatura y teatro
Acuarela;B2;Artes;Artes plásticas
Acuario;B1;Geografía y naturaleza;Safari fotográfico
Acusado;B1;Justicia;En el juzgado
Acusar;B2;Justicia;Ley y orden
Acuse de recibo;B2;Comunicación;Comunicación personal
Acuíferos;B2;Medioambiente;Problemas medioambientales
Adelgazar;B1;Salud y cuidados personales;El cuerpo humano y la salud
Aditivos;B2;Medioambiente;Problemas medioambientales
Adiós;A1-A2;Relaciones sociales;Saludos
Adjuntar;B1;Medios de comunicación;Internet
Administrativo;A1-A2;Trabajo;Profesiones
Admiración;B2;Individuo y relaciones personales;Valores y comportamientos personales
Adolescencia;B1;Individuo y relaciones personales;Relaciones personales
Adolescente;B1;Individuo y relaciones personales;Relaciones personales
Adoptado;B2;Individuo y relaciones personales;Relaciones familiares
Adoptar;B1;Individuo y relaciones personales;Relaciones personales
Adorar;B2;Individuo y relaciones personales;Valores y comportamientos personales
Adquirir experiencia;B1;Trabajo;Trabajo
Adulto;B1;Individuo y relaciones personales;Relaciones personales
Aeropuerto;A1-A2;Viajes, transportes y alojamiento;Medios de transporte
Afeitarse;B1;Salud y cuidados personales;El cuerpo humano y la salud
Aficionado;B2;Ocio;Deportes
Afición;B1;Ocio;Tiempo libre y entretenimiento
Agenda;A1-A2;Trabajo;En la oficina
Agente;B2;Justicia;Ley y orden
Agobiado;B2;Individuo y relaciones personales;Valores y comportamientos personales
Agobiarse;B2;Individuo y relaciones personales;Valores y comportamientos personales
Agosto;A1-A2;Fecha y hora;Meses
Agotar;B2;Medioambiente;Problemas medioambientales
Agradable;A1-A2;Individuo y relaciones personales;Carácter
Agrio;B2;Individuo y relaciones personales;Sensaciones y percepciones
Agua;B1;Vivienda;Vivienda
Agua mineral;A1-A2;Alimentación;En el restaurante
Agua oxigenada;B1;Salud y cuidados personales;En el hospital
Agujero;B1;Medioambiente;Problemas medioambientales
Ahorro;B1;Medioambiente;Problemas medioambientales
Ahorros;B2;Economía;Economía y finanzas
Aire acondicionado;A1-A2;Viajes, transportes y alojamiento;En el hotel
Ajo;A1-A2;Alimentación;Alimentos
Al contado;B2;Vivienda;La vivienda
Al dedillo;B2;Educación;Educación
Al lado;A1-A2;Trabajo;En la oficina
Al lado de;A1-A2;Trabajo;En la oficina
Al vapor;B2;Alimentación;Alimentación nutritiva
Ala delta;B1;Ocio;Deportes de invierno y aventura
Alarma;B2;Justicia;Ley y orden
Albahaca;B2;Alimentación;Alimentación nutritiva
Albañil;B2;Vivienda;La vivienda
Alcohol;B1;Salud y cuidados personales;En el hospital
Alegato;B2;Justicia;Ley y orden
Alegrarse;B1;Individuo y relaciones personales;Sentimientos y estados de ánimo
Alegre;B1;Individuo y relaciones personales;Sentimientos y estados de ánimo
Alegría;B1;Individuo y relaciones personales;Sentimientos y estados de ánimo
Alergia;A1-A2;Salud e higiene;En el centro de salud
Alfombra;A1-A2;Vivienda;Salón
Alfombrilla;A1-A2;Trabajo;En la oficina
Algodón;B1;Salud y cuidados personales;En el hospital
Alimento;B1;Alimentación;Alimentación sana / menús, platos, recetas
Alimentos frescos;B2;Alimentación;Alimentación nutritiva
Alimentos orgánicos;B2;Alimentación;Alimentación nutritiva
Alimentos ricos en calorías;B2;Alimentación;Alimentación nutritiva
Aliviado;B2;Individuo y relaciones personales;Valores y comportamientos personales
Aliñado;B1;Alimentación;Alimentación sana / menús, platos, recetas
Almacenar;B2;Artes;Cine y fotografía
Almendra;B2;Alimentación;Alimentación nutritiva
Almohada;A1-A2;Vivienda;Dormitorio
Alojamiento;A1-A2;Viajes, transportes y alojamiento;En el hotel
Alojamiento y desayuno;A1-A2;Viajes, transportes y alojamiento;En el hotel
Alojarse;B1;Viajes, alojamiento y transporte;Viajes, alojamiento y transporte
Alquilar;B1;Vivienda;Vivienda
Alquilar una película;B1;Artes;Cine
Alquiler;B1;Vivienda;Vivienda
Alto;B1;Formas y medidas;Formas y medidas
Alubia;B1;Alimentación;Alimentación sana / menús, platos, recetas
Alumno;A1-A2;Educación;Objetos y acciones del aula
Alérgico;A1-A2;Salud e higiene;En el centro de salud
Amable;B2;Individuo y relaciones personales;Valores y comportamientos personales
Amargo;B2;Individuo y relaciones personales;Sensaciones y percepciones
Amarillo;A1-A2;Colores;Colores
Ambicioso;B2;Individuo y relaciones personales;Valores y comportamientos personales
Ambulancia;A1-A2;Salud e higiene;En el centro de salud
Amistad;B1;Individuo y relaciones personales;Sentimientos y estados de ánimo
Amueblado;A1-A2;Vivienda;Casa
Ancho;B2;Compras y tiendas;De compras
Andén;B2;Viajes, alojamiento y transportes;Viajes y transportes
Angustia;B2;Individuo y relaciones personales;Valores y comportamientos personales
Angustiarse;B2;Individuo y relaciones personales;Valores y comportamientos personales
Anillo;A1-A2;Compras y tiendas;Complementos y calzados
Anillo de oro;B1;Compras y tiendas;Ropa, calzado y complementos
Anillo de plata;B1;Compras y tiendas;Ropa, calzado y complementos
Animado;B2;Individuo y relaciones personales;Valores y comportamientos personales
Animal acuático;B1;Geografía y naturaleza;Safari fotográfico
Animal de compañía;B1;Geografía y naturaleza;Safari fotográfico
Aniversario;B1;Individuo y relaciones personales;Celebraciones
Aniversario de boda;B1;Individuo y relaciones personales;Celebraciones
Ansiedad;B2;Salud y cuidados personales;Salud y enfermedad
Antibiótico;B1;Salud y cuidados personales;En el hospital
Anticuado;B1;Compras y tiendas;Ropa, calzado y complementos
Antiinflamatorio;B2;Salud y cuidados personales;Salud y enfermedad
Antipático;A1-A2;Individuo y relaciones personales;Carácter
Antivirus;B2;Comunicación;Comunicación personal
Anual;B2;Economía;Economía y finanzas
Anular una reserva;A1-A2;Viajes, transportes y alojamiento;En el hotel
Anunciar;B2;Comunicación;Comunicación personal
Anuncio;B1;Ocio;Tiempo libre y entretenimiento
Anuncio de trabajo;B1;Trabajo;Trabajo
Análisis de orina;B1;Salud y cuidados personales;En el hospital
Análisis de sangre;B1;Salud y cuidados personales;En el hospital
Anécdota;B2;Comunicación;Comunicación personal
Apagar la luz;A1-A2;Vivienda;Salón
Apagar la sed;B2;Alimentación;Alimentación nutritiva
Aparato digestivo;B2;Individuo y relaciones personales;Sensaciones y percepciones
Aparcamiento;A1-A2;Viajes, transportes y alojamiento;En el hotel
Aparcar;B1;Viajes, alojamiento y transporte;La conducción
Aparejador;B2;Vivienda;La vivienda
Apartamento;B1;Viajes, alojamiento y transporte;Viajes, alojamiento y transporte
Apasionado;B2;Individuo y relaciones personales;Valores y comportamientos personales
Apenado;B2;Individuo y relaciones personales;Valores y comportamientos personales
Aperitivo;B2;Alimentación;Alimentación nutritiva
Apetecible;B2;Alimentación;Alimentación nutritiva
Aplicar una crema;B2;Salud y cuidados personales;Higiene y belleza
Aportar;B2;Economía;Economía y finanzas
Apostar;B2;Ocio;Juegos y pasatiempos
Aprender;B1;Educación;Educación
Aprender de memoria;B1;Educación;Educación
Apretar el zapato;B2;Compras y tiendas;De compras
Aprobar;B1;Educación;Educación
Aprobar un examen;A1-A2;Educación;Objetos y acciones del aula
Aproximarse;B1;Viajes, alojamiento y transporte;La conducción
Apto para todos los públicos;B2;Comunicación;Medios de comunicación
Apuntarse a una lista de distribución;B2;Comunicación;Comunicación personal
Arar;B1;Geografía y naturaleza;En el campo
Araña;A1-A2;Geografía y naturaleza;Animales y plantas
Archivo;B1;Medios de comunicación;Internet
Arco iris;A1-A2;Geografía y naturaleza;Fenómenos atmosféricos
Arena;B1;Ocio;Tiempo libre y entretenimiento
Argentina;A1-A2;Ocio;Países de habla hispana y nacionalidades
Argentino;A1-A2;Ocio;Países de habla hispana y nacionalidades
Armario;A1-A2;Vivienda;Dormitorio
Armario de baño;A1-A2;Vivienda;Cuarto de baño
Armarse un lío;B2;Individuo y relaciones personales;Relaciones familiares
Armonía;B2;Artes;Artes plásticas
Aroma relajante;B2;Salud y cuidados personales;Higiene y belleza
Arquitecto;B1;Artes;Arquitectura, escultura, pintura
Arquitectura;B2;Artes;Artes plásticas
Arreglar;B1;Viajes, alojamiento y transporte;La conducción
Arrendador;B2;Vivienda;La vivienda
Arrendatario;B2;Vivienda;La vivienda
Arroba;A1-A2;Información y medios de comunicación;Internet
Arrogante;B1;Individuo y relaciones personales;Cáracter y personalidad
Arroz;B1;Alimentación;Alimentación sana / menús, platos, recetas
Arrugarse;B1;Compras y tiendas;Ropa, calzado y complementos
Arte;B1;Artes;Cine
Arte escénica;B2;Artes;Literatura y teatro
Artes plásticas;B2;Artes;Artes plásticas
Articulaciones;B2;Individuo y relaciones personales;Sensaciones y percepciones
Articulación;B1;Salud y cuidados personales;El cuerpo humano y la salud
Artista;B2;Artes;Artes plásticas
Artículo;B2;Compras y tiendas;De compras
Artículos de opinión;B2;Comunicación;Medios de comunicación
Asado;B1;Alimentación;Alimentación sana / menús, platos, recetas
Ascensor;A1-A2;Vivienda;Casa
Asiento;B1;Artes;Cine
Asignatura;B1;Educación;Educación
Asignatura optativa;B2;Educación;Educación
Asignatura pendiente;B2;Educación;Educación
Asistencia sanitaria;B2;Salud y cuidados personales;Salud y enfermedad
Asistente;B1;Individuo y relaciones personales;Celebraciones
Asistir;B1;Individuo y relaciones personales;Celebraciones
Aspirador;B1;Labores domésticas;Labores domésticas
Aspirina;B1;Salud y cuidados personales;En el hospital
Astrónomo;B2;Ciencia y tecnología;Ciencia y tecnología
Asustar;B2;Individuo y relaciones personales;Valores y comportamientos personales
Ataque de ansiedad;B2;Salud y cuidados personales;Salud y enfermedad
Atasco;B1;Viajes, alojamiento y transporte;La conducción
Atención de urgencias;B2;Salud y cuidados personales;Salud y enfermedad
Atención especializada;B2;Salud y cuidados personales;Salud y enfermedad
Atención primaria;B2;Salud y cuidados personales;Salud y enfermedad
Atento;B2;Individuo y relaciones personales;Valores y comportamientos personales
Aterrizaje;A1-A2;Viajes, transportes y alojamiento;Medios de transporte
Aterrizar;A1-A2;Viajes, transportes y alojamiento;Medios de transporte
Atleta;A1-A2;Ocio;Deportes
Atletismo;A1-A2;Ocio;Deportes
Atmósfera;B2;Medioambiente;Problemas medioambientales
Atracar;B1;Justicia;En el juzgado
Atraco;B1;Justicia;En el juzgado
Atropello;B1;Viajes, alojamiento y transporte;La conducción
Atún;B1;Alimentación;Alimentación sana / menús, platos, recetas
Audioconferencia;B2;Comunicación;Comunicación personal
Aula multimedia;B1;Educación;Educación
Autobiografía;B1;Artes;Literatura
Autobús;A1-A2;Viajes, transportes y alojamiento;Medios de transporte
Autopista;B2;Viajes, alojamiento y transportes;Viajes y transportes
Autor;B2;Artes;Literatura y teatro
Autoservicio;B2;Alimentación;Alimentación nutritiva
Auxiliar de vuelo;A1-A2;Viajes, transportes y alojamiento;Medios de transporte
Ave;B1;Geografía y naturaleza;Safari fotográfico
Avellana;B2;Alimentación;Alimentación nutritiva
Avergonzado;B2;Individuo y relaciones personales;Valores y comportamientos personales
Averiado;B1;Viajes, alojamiento y transporte;La conducción
Avería;B1;Vivienda;Vivienda
Avestruz;B1;Geografía y naturaleza;Safari fotográfico
Avión;A1-A2;Viajes, transportes y alojamiento;Medios de transporte
Ayuntamiento;A1-A2;Ciudad;Ciudad
Azafata;A1-A2;Viajes, transportes y alojamiento;Medios de transporte
Azar;B2;Ocio;Juegos y pasatiempos
Azucarero;A1-A2;Alimentación;Utensilios de cocina y de mesa
Azul;A1-A2;Colores;Colores
Azúcar;A1-A2;Alimentación;Utensilios de cocina y de mesa
Azúcar alto;B2;Salud y cuidados personales;Salud y enfermedad
Año lectivo;B2;Educación;Educación
Bachiller;B1;Educación;Educación
Bachillerato;B2;Educación;Educación
Bailar;A1-A2;Ocio;Aficiones y espectáculos
Bailarín;B1;Artes;Música y danza
Baile;B1;Individuo y relaciones personales;Celebraciones
Bajar;B2;Economía;Economía y finanzas
Bajar el interés;B1;Economía;Economía
Bajar el precio;B1;Compras y tiendas;De compras
Bajar la temperatura;A1-A2;Geografía y naturaleza;Fenómenos atmosféricos
Bajar los brazos;B1;Salud y cuidados personales;El cuerpo humano y la salud
Bajar los precios;B2;Compras y tiendas;De compras
Bajito;A1-A2;Individuo y relaciones personales;Descripción física
Bajo;A1-A2;Individuo y relaciones personales;Descripción física
Bajo en calorías;B2;Alimentación;Alimentación nutritiva
Ballena;B1;Geografía y naturaleza;Safari fotográfico
Balneario;B2;Salud y cuidados personales;Higiene y belleza
Baloncestista;A1-A2;Ocio;Deportes
Baloncesto;B2;Ocio;Deportes
Balonmano;B2;Ocio;Deportes
Balón;B1;Ocio;Deportes de equipo
Banco;A1-A2;Ciudad;Ciudad
Banda ancha;B1;Medios de comunicación;Internet
Banda sonora;B2;Artes;Cine y fotografía
Bandeja;A1-A2;Alimentación;Utensilios de cocina y de mesa
Banquete;B1;Individuo y relaciones personales;Celebraciones
Bar;A1-A2;Ciudad;Ciudad
Baraja;B2;Ocio;Juegos y pasatiempos
Barajar;B2;Ocio;Juegos y pasatiempos
Barba;A1-A2;Individuo y relaciones personales;Descripción física
Barca;B1;Viajes, alojamiento y transporte;Viajes, alojamiento y transporte
Barco;A1-A2;Viajes, transportes y alojamiento;Medios de transporte
Barco de vela;B2;Viajes, alojamiento y transportes;Viajes y transportes
Barra de labios;B1;Salud y cuidados personales;El cuerpo humano y la salud
Barra de pan;A1-A2;Alimentación;Alimentos
Barra de un bar;A1-A2;Alimentación;En el restaurante
Barrer;B1;Labores domésticas;Labores domésticas
Barriga;B1;Salud y cuidados personales;El cuerpo humano y la salud
Barrio;A1-A2;Ciudad;Ciudad
Barro;B2;Artes;Artes plásticas
Base;B1;Ocio;Deportes de equipo
Base de datos;B1;Medios de comunicación;Internet
Bastón;B1;Ocio;Deportes de invierno y aventura
Basura;B1;Medioambiente;Problemas medioambientales
Bate;B1;Ocio;Deportes de equipo
Bateador;B1;Ocio;Deportes de equipo
Batería;B1;Medios de comunicación;Teléfono
Bañador;A1-A2;Compras y tiendas;Ropa
Bañarse;A1-A2;Salud e higiene;Cuerpo e higiene personal
Bañera;A1-A2;Vivienda;Cuarto de baño
Baño;A1-A2;Vivienda;Casa
Beber;A1-A2;Alimentación;En el restaurante
Bebida;A1-A2;Alimentación;En el restaurante
Beca;B1;Educación;Educación
Becario;B1;Trabajo;Trabajo
Beisbolista;B1;Ocio;Deportes de equipo
Berenjena;B1;Alimentación;Alimentación sana / menús, platos, recetas
Biblioteca;B1;Educación;Educación
Bicicleta;A1-A2;Viajes, transportes y alojamiento;Medios de transporte
Bidé;A1-A2;Vivienda;Cuarto de baño
Bigote;A1-A2;Individuo y relaciones personales;Descripción física
Bilingüe;B2;Educación;Educación
Billete;B1;Economía;Economía
Billete de ida;A1-A2;Viajes, transportes y alojamiento;Medios de transporte
Billete de ida y vuelta;A1-A2;Viajes, transportes y alojamiento;Medios de transporte
Billete de lotería;B2;Ocio;Juegos y pasatiempos
Billete de vuelta;A1-A2;Viajes, transportes y alojamiento;Medios de transporte
Biografía;B1;Artes;Literatura
Biosfera;B2;Medioambiente;Problemas medioambientales
Biquini;A1-A2;Compras y tiendas;Ropa
Bisabuelo;B2;Individuo y relaciones personales;Relaciones familiares
Bisnieto;B2;Individuo y relaciones personales;Relaciones familiares
Bisutería;B1;Compras y tiendas;Ropa, calzado y complementos
Bizcocho;B1;Alimentación;Alimentación sana / menús, platos, recetas
Blanco;A1-A2;Colores;Colores
Blanco y negro;B1;Geografía y naturaleza;Safari fotográfico
Bloque de pisos;B1;Vivienda;Vivienda
Blusa;B1;Compras y tiendas;Ropa, calzado y complementos
Boca;A1-A2;Salud e higiene;Cuerpo e higiene personal
Boca de metro;A1-A2;Ciudad;Ciudad
Bocadillo;A1-A2;Alimentación;Alimentos
Boda;B1;Individuo y relaciones personales;Celebraciones
Bodas de plata;B1;Individuo y relaciones personales;Celebraciones
Bodegón;B2;Artes;Artes plásticas
Bolivia;A1-A2;Ocio;Países de habla hispana y nacionalidades
Boliviano;A1-A2;Ocio;Países de habla hispana y nacionalidades
Bollería industrial;B2;Alimentación;Alimentación nutritiva
Bolsa;B2;Economía;Economía y finanzas
Bolsa de naranjas;A1-A2;Alimentación;Alimentos
Bolso;B1;Compras y tiendas;Ropa, calzado y complementos
Bolígrafo;A1-A2;Educación;Objetos y acciones del aula
Bombero;A1-A2;Trabajo;Profesiones
Bombo;B2;Ocio;Juegos y pasatiempos
Borrador;A1-A2;Educación;Objetos y acciones del aula
Borrar;A1-A2;Educación;Objetos y acciones del aula
Bosque;A1-A2;Geografía y naturaleza;Accidentes geográficos
Bota;B1;Compras y tiendas;Ropa, calzado y complementos
Botella;A1-A2;Alimentación;Utensilios de cocina y de mesa
Botella de leche;A1-A2;Alimentación;Alimentos
Botiquín;B1;Salud y cuidados personales;En el hospital
Botones;A1-A2;Viajes, transportes y alojamiento;En el hotel
Botón de disparo;B1;Geografía y naturaleza;Safari fotográfico
Bragas;A1-A2;Compras y tiendas;Ropa
Brazo;A1-A2;Salud e higiene;Cuerpo e higiene personal
Bricolaje;B1;Ocio;Tiempo libre y entretenimiento
Brindis;B1;Individuo y relaciones personales;Celebraciones
Bronce;B2;Artes;Artes plásticas
Bronquitis;B2;Salud y cuidados personales;Salud y enfermedad
Brotar;B1;Geografía y naturaleza;En el campo
Buceador;B1;Ocio;Tiempo libre y entretenimiento
Bucear;B1;Ocio;Tiempo libre y entretenimiento
Buen gusto;B2;Individuo y relaciones personales;Sensaciones y percepciones
Buen sueldo;B2;Trabajo;Actividad laboral
Buen tiempo;A1-A2;Geografía y naturaleza;Fenómenos atmosféricos
Buenas noches;A1-A2;Relaciones sociales;Saludos
Buenas vistas;B1;Vivienda;Vivienda
Buenos días;A1-A2;Relaciones sociales;Saludos
Bufanda;A1-A2;Compras y tiendas;Complementos y calzados
Bufé libre;B2;Alimentación;Alimentación nutritiva
Buitre;B1;Geografía y naturaleza;Safari fotográfico
Buscador;B1;Medios de comunicación;Internet
Buzón de voz;B1;Medios de comunicación;Teléfono
Báscula;A1-A2;Vivienda;Cuarto de baño
Béisbol;B1;Ocio;Deportes de equipo
Caballo;A1-A2;Geografía y naturaleza;Animales y plantas
Cabaña;B1;Viajes, alojamiento y transporte;Viajes, alojamiento y transporte
Cabeza;A1-A2;Salud e higiene;Cuerpo e higiene personal
Cabeza de ajos;A1-A2;Alimentación;Alimentos
Cabina de teléfono;A1-A2;Información y medios de comunicación;Teléfono
Cabina telefónica;A1-A2;Información y medios de comunicación;Teléfono
Cable;B2;Vivienda;La vivienda
Cacahuete;B1;Alimentación;Alimentación sana / menús, platos, recetas
Cadena;A1-A2;Vivienda;Cuarto de baño
Caducado;B2;Alimentación;Alimentación nutritiva
Caer bien;B1;Individuo y relaciones personales;Relaciones personales
Caer bien a;B1;Individuo y relaciones personales;Relaciones personales
Caer mal;B1;Individuo y relaciones personales;Relaciones personales
Caer mal a;B1;Individuo y relaciones personales;Relaciones personales
Cafetera;B1;Labores domésticas;Labores domésticas
Cafetería;A1-A2;Ciudad;Ciudad
Café;B1;Alimentación;Alimentación sana / menús, platos, recetas
Café con leche;A1-A2;Alimentación;En el restaurante
Café solo;A1-A2;Alimentación;En el restaurante
Cajero;A1-A2;Trabajo;Profesiones
Cajero automático;B1;Economía;Economía
Cajón;A1-A2;Vivienda;Dormitorio
Calabacín;B1;Alimentación;Alimentación sana / menús, platos, recetas
Calcetín;A1-A2;Compras y tiendas;Ropa
Calcio;B2;Alimentación;Alimentación nutritiva
Calcular;B2;Ciencia y tecnología;Ciencia y tecnología
Calefacción;B1;Vivienda;Vivienda
Calendario;A1-A2;Trabajo;En la oficina
Calentamiento;B1;Medioambiente;Desastres naturales
Calentamiento global;B2;Medioambiente;Problemas medioambientales
Calentar;B1;Alimentación;Alimentación sana / menús, platos, recetas
Caliente;B1;Alimentación;Alimentación sana / menús, platos, recetas
Calle;A1-A2;Ciudad;Ciudad
Callejero;B1;Viajes, alojamiento y transporte;Viajes, alojamiento y transporte
Calmante;B2;Salud y cuidados personales;Salud y enfermedad
Calor;A1-A2;Geografía y naturaleza;Fenómenos atmosféricos
Caloría;B1;Alimentación;Alimentación sana / menús, platos, recetas
Calorías vacías;B2;Alimentación;Alimentación nutritiva
Calvo;A1-A2;Individuo y relaciones personales;Descripción física
Calzar;B1;Compras y tiendas;Ropa, calzado y complementos
Calzoncillos;A1-A2;Compras y tiendas;Ropa
Cama;A1-A2;Vivienda;Dormitorio
Cama de matrimonio;A1-A2;Viajes, transportes y alojamiento;En el hotel
Cama individual;A1-A2;Viajes, transportes y alojamiento;En el hotel
Camarero;A1-A2;Trabajo;Profesiones
Cambiar;B2;Compras y tiendas;De compras
Cambiar de cadena;B1;Ocio;Tiempo libre y entretenimiento
Cambiar de canal;B1;Ocio;Tiempo libre y entretenimiento
Cambiar de chaqueta;B2;Compras y tiendas;De compras
Cambiar las sábanas;A1-A2;Vivienda;Dormitorio
Cambio;B1;Economía;Economía
Cambio climático;B1;Medioambiente;Problemas medioambientales
Cambio de imagen;B2;Salud y cuidados personales;Higiene y belleza
Cambio de sentido;B2;Viajes, alojamiento y transportes;Viajes y transportes
Camilla;A1-A2;Salud e higiene;En el centro de salud
Caminar;B1;Salud y cuidados personales;El cuerpo humano y la salud
Camisa;B1;Compras y tiendas;Ropa, calzado y complementos
Camiseta;A1-A2;Compras y tiendas;Ropa
Camión;B1;Viajes, alojamiento y transporte;Viajes, alojamiento y transporte
Campeonato;B2;Ocio;Deportes
Campesino;B1;Geografía y naturaleza;En el campo
Campeón;B2;Ocio;Deportes
Campin;B1;Viajes, alojamiento y transporte;Viajes, alojamiento y transporte
Campo;B1;Ocio;Deportes de equipo
Campo de fútbol;A1-A2;Ocio;Deportes
Campus;B1;Educación;Educación
Canasta;A1-A2;Ocio;Deportes
Cancelación;A1-A2;Viajes, transportes y alojamiento;En el hotel
Cancelar;B2;Viajes, alojamiento y transportes;Viajes y transportes
Cancelar una reserva;A1-A2;Viajes, transportes y alojamiento;En el hotel
Cancha;A1-A2;Ocio;Deportes
Canción;A1-A2;Ocio;Aficiones y espectáculos
Canica;B2;Ocio;Juegos y pasatiempos
Cansado;A1-A2;Salud e higiene;En el centro de salud
Cansancio;B2;Salud y cuidados personales;Salud y enfermedad
Cansarse;B2;Individuo y relaciones personales;Valores y comportamientos personales
Cantante;B1;Artes;Música y danza
Cantar;A1-A2;Ocio;Aficiones y espectáculos
Capa de ozono;B2;Medioambiente;Problemas medioambientales
Capacidad;B1;Formas y medidas;Formas y medidas
Capaz;A1-A2;Individuo y relaciones personales;Carácter
Capital;B1;Economía;Economía
Capítulo;B1;Artes;Literatura
Cara;B1;Formas y medidas;Formas y medidas
Caramelo;B1;Alimentación;Alimentación sana / menús, platos, recetas
Cardiología;B1;Salud y cuidados personales;En el hospital
Cargador;B1;Medios de comunicación;Teléfono
Cargar la batería;B1;Medios de comunicación;Teléfono
Cariño;B2;Individuo y relaciones personales;Valores y comportamientos personales
Carne;B1;Alimentación;Alimentación sana / menús, platos, recetas
Carne a la brasa;B2;Alimentación;Alimentación nutritiva
Carnicero;A1-A2;Alimentación;Alimentos
Carnicería;A1-A2;Alimentación;Alimentos
Carpintero;B2;Vivienda;La vivienda
Carrera;B2;Ocio;Deportes
Carretera;B1;Viajes, alojamiento y transporte;La conducción
Carril;B1;Viajes, alojamiento y transporte;La conducción
Carrito;A1-A2;Viajes, transportes y alojamiento;Medios de transporte
Carro;A1-A2;Viajes, transportes y alojamiento;Medios de transporte
Carta;A1-A2;Alimentación;En el restaurante
Carta de presentación;B1;Trabajo;Trabajo
Carta de reclamación;B2;Comunicación;Comunicación personal
Carta de recomendación;B2;Trabajo;Actividad laboral
Cartas al director;B2;Comunicación;Medios de comunicación
Cartelera;B2;Artes;Cine y fotografía
Cartón;B1;Medioambiente;Problemas medioambientales
Casa;A1-A2;Vivienda;Casa
Casa rural;B1;Viajes, alojamiento y transporte;Viajes, alojamiento y transporte
Casado;A1-A2;Individuo y relaciones personales;Familia
Casarse;B1;Individuo y relaciones personales;Relaciones personales
Casco;B1;Viajes, alojamiento y transporte;La conducción
Casero;B1;Vivienda;Vivienda
Casilla;B2;Ocio;Juegos y pasatiempos
Castillo;B1;Artes;Arquitectura, escultura, pintura
Casting;B2;Artes;Cine y fotografía
Catedral;B1;Artes;Arquitectura, escultura, pintura
Catedrático;B2;Educación;Educación
Cateto;B2;Ciencia y tecnología;Ciencia y tecnología
Catorce;A1-A2;Información y medios de comunicación;Números ordinales y cardinales
Cazuela de barro;B2;Alimentación;Alimentación nutritiva
Cañería;B2;Vivienda;La vivienda
Cebolla;A1-A2;Alimentación;Alimentos
Cebra;B1;Geografía y naturaleza;Safari fotográfico
Ceda el paso;B2;Viajes, alojamiento y transportes;Viajes y transportes
Ceder el paso;B1;Viajes, alojamiento y transporte;La conducción
Ceja;B1;Salud y cuidados personales;El cuerpo humano y la salud
Celebrar;B1;Individuo y relaciones personales;Celebraciones
